央视频道,#genre#
CCTV1,http://112.44.6.47:4022/udp/239.11.0.65:5140
CCTV2,http://112.44.6.47:4022/udp/239.11.0.108:5140
CCTV3,http://112.44.6.47:4022/udp/239.11.0.101:5140
CCTV4,http://112.44.6.47:4022/udp/239.11.0.109:5140
CCTV5,http://112.44.6.47:4022/udp/239.11.0.100:5140
CCTV5+,http://112.44.6.47:4022/udp/239.11.0.241:5140
CCTV6,http://112.44.6.47:4022/udp/239.11.0.102:5140
CCTV7,http://112.44.6.47:4022/udp/239.11.0.110:5140
CCTV8,http://112.44.6.47:4022/udp/239.11.0.103:5140
CCTV9,http://112.44.6.47:4022/udp/239.11.0.111:5140
CCTV10,http://112.44.6.47:4022/udp/239.11.0.112:5140
CCTV11,http://112.44.6.47:4022/udp/239.11.0.22:5140
CCTV12,http://112.44.6.47:4022/udp/239.11.0.113:5140
CCTV13,http://112.44.6.47:4022/udp/239.11.0.24:5140
CCTV14,http://112.44.6.47:4022/udp/239.11.0.114:5140
CCTV15,http://112.44.6.47:4022/udp/239.11.0.26:5140
CCTV17,http://112.44.6.47:4022/udp/239.11.0.107:5140

卫视频道,#genre#
北京卫视,http://112.44.6.47:4022/udp/239.11.0.121:5140
东方卫视,http://112.44.6.47:4022/udp/239.11.0.68:5140
黑龙江卫视,http://112.44.6.47:4022/udp/239.11.0.36:5140
吉林卫视,http://112.44.6.47:4022/udp/239.11.0.35:5140
江西卫视,http://112.44.6.47:4022/udp/239.11.0.42:5140
东南卫视,http://112.44.6.47:4022/udp/239.11.0.41:5140
河南卫视,http://112.44.6.47:4022/udp/239.11.0.44:5140
浙江卫视,http://112.44.6.47:4022/udp/239.11.0.70:5140
深圳卫视,http://112.44.6.47:4022/udp/239.11.0.71:5140
山东卫视,http://112.44.6.47:4022/udp/239.11.0.73:5140
湖北卫视,http://112.44.6.47:4022/udp/239.11.0.74:5140
江苏卫视,http://112.44.6.47:4022/udp/239.11.0.76:5140
四川卫视,http://112.44.6.47:4022/udp/239.11.0.78:5140
广东卫视,http://112.44.6.47:4022/udp/239.11.0.115:5140
广西卫视,http://112.44.6.47:4022/udp/239.11.0.48:5140
贵州卫视,http://112.44.6.47:4022/udp/239.11.0.51:5140
甘肃卫视,http://112.44.6.47:4022/udp/239.11.0.55:5140
重庆卫视,http://112.44.6.47:4022/udp/239.11.0.116:5140
安徽卫视,http://112.44.6.47:4022/udp/239.11.0.117:5140
辽宁卫视,http://112.44.6.47:4022/udp/239.11.0.118:5140
天津卫视,http://112.44.6.47:4022/udp/239.11.0.123:5140
山西卫视,http://112.44.6.47:4022/udp/239.11.0.32:5140
云南卫视,http://112.44.6.47:4022/udp/239.11.0.52:5140
西藏卫视,http://112.44.6.47:4022/udp/239.11.0.53:5140
陕西卫视,http://112.44.6.47:4022/udp/239.11.0.54:5140
青海卫视,http://112.44.6.47:4022/udp/239.11.0.56:5140
宁夏卫视,http://112.44.6.47:4022/udp/239.11.0.57:5140
新疆卫视,http://112.44.6.47:4022/udp/239.11.0.58:5140
内蒙古卫视,http://112.44.6.47:4022/udp/239.11.0.33:5140
兵团卫视,http://112.44.6.47:4022/udp/239.11.0.204:5140
延边卫视,http://112.44.6.47:4022/udp/239.11.0.206:5140
海南卫视,http://112.44.6.47:4022/udp/239.11.0.193:5140

咪咕视频,#genre#
咪咕体育,http://112.44.6.47:4022/udp/239.11.0.122:5140
